Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
"Humko Humise Chura Lo Song | Mohabbatein | Shah Rukh Khan, Aishwarya Rai | Lata Mangeshkar, Udit N",YRF,"64,400,000","388,227,079","1,630,799",427,https://www.youtube.com/watch?v=zWPsjhBaRb0
"Zihaale - E- Miskin (Original Song) Lata Mangeshkar, Shabbir Kumar | Ghulami 1985 Songs | Mithun",Goldmines Gaane Sune Ansune,"45,600,000","349,166,102","999,609",384,https://www.youtube.com/watch?v=QYiTtuwJzTQ
"Lag Jaa Gale - Sadhana, Lata Mangeshkar, Woh Kaun Thi Romantic Song",Ultra Bollywood,"43,400,000","313,122,669","1,711,208",259,https://www.youtube.com/watch?v=TFr6G5zveS8
"Mehboob Mere | Mukesh, Lata Mangeshkar | Patthar Ke Sanam 1967 Songs | Manoj Kumar",Goldmines Gaane Sune Ansune,"45,600,000","287,975,868","565,388",330,https://www.youtube.com/watch?v=OOA9JxOPzrE
"Dekha Ek Khwab Song | Silsila | Amitabh Bachchan, Rekha | Kishore Kumar, Lata Mangeshkar, Shiv-Hari",YRF,"64,400,000","276,958,812","1,701,022",267,https://www.youtube.com/watch?v=7dO_MS9tZ5E
"Likhne Wale Ne Likh Daale |Lata Mangeshkar, Suresh Wadkar |Arpan 1983 Songs |Jeetendra, Parveen Babi",Goldmines Gaane Sune Ansune,"45,600,000","268,927,460","537,648",454,https://www.youtube.com/watch?v=ub2zgoLJxUU
"Do Pal Song | Veer-Zaara | Shah Rukh Khan, Preity Zinta | Madan Mohan | Lata Mangeshkar, Sonu Nigam",YRF,"64,400,000","263,883,068","1,742,181",254,https://www.youtube.com/watch?v=HPsxxBhv9kc
"Yeh Dil Tum Bin Kahin Lagta Nahin | Mohammed Rafi, Lata Mangeshkar | Izzat 1968 Songs",Goldmines Gaane Sune Ansune,"45,600,000","198,396,181","759,926",370,https://www.youtube.com/watch?v=UbrJ0QmAxiQ
"Tere Bina Zindagi Se Koi Shikwa To Nahin | Lata Mangeshkar, Kishore Kumar | Aandhi 1975 Songs",Goldmines Gaane Sune Ansune,"45,600,000","195,545,893","694,427",423,https://www.youtube.com/watch?v=8-HnmVg0-O8
"Sheesha Ho Ya Dil Ho | Lata Mangeshkar | Aasha Songs 1980 | Jeetendra, Reena Roy",Goldmines Gaane Sune Ansune,"45,600,000","157,364,954","451,568",292,https://www.youtube.com/watch?v=JFT0d0UJWGk
"A.R. Rahman - O Paalanhaare (From ""Lagaan"")",SonyMusicIndiaVEVO,"54,800,000","125,785,139","837,258",304,https://www.youtube.com/watch?v=kbMinfmC3E0
"Aadmi Musafir Hai Aata Hai Jata Hai (I) | Lata Mangeshkar, Mohammed Rafi | Apnapan 1977 Songs",Goldmines Gaane Sune Ansune,"45,600,000","121,986,332","332,379",273,https://www.youtube.com/watch?v=ipePh7hAkYc
"Pardes Jake Pardesiya Bhool Na Jana Piya | Lata Mangeshkar | Arpan 1983 Songs | Reena Roy, Jeetendra",Goldmines Gaane Sune Ansune,"45,600,000","118,589,249","284,055",311,https://www.youtube.com/watch?v=t52I9kkxmLs
"Wada Na Tod | Lata Mangeshkar | Dil Tujhko Diya 1987 Songs | Kumar Gaurav, Rati Agnihotri",Goldmines Gaane Sune Ansune,"45,600,000","118,094,312","318,749",336,https://www.youtube.com/watch?v=Oq6q4HPBc5Q
"Jo Wada Kiya Woh Nibhana Padega Full Song With Lyrics | Mohammed Rafi, Lata Mangeshkar | Taj Mahal",Goldmines Gaane Sune Ansune,"45,600,000","111,909,014","349,980",199,https://www.youtube.com/watch?v=u-ioONenaAQ
Lata Mangeshkar - Aye Mere Watan Ke Logo (Live Performance),gussie5555,"978,000","110,729,803","962,097",527,https://www.youtube.com/watch?v=sdyPozsx_6M
Humko Humise Chura Lo | Lata Mangeshkar Udit Narayan Live Hydrebad Concert | Mohabbatein,Anandghan,"542,000","82,150,091","802,813",467,https://www.youtube.com/watch?v=tqHm_IbdTO4
तेरा मेरा प्यार अमर | Tera Mera Pyar Amar | Asli Naqli | Lata Mangeshkar | Evergreen Hindi Songs,Shemaroo Filmi Gaane,"71,200,000","67,199,597","282,858",235,https://www.youtube.com/watch?v=BV0-rrdPJKw
Lata Mangeshkar - Jo Wada Kiya (Live Performance),gussie5555,"978,000","65,588,480","218,745",211,https://www.youtube.com/watch?v=Ou0B9T89L0g
Dil Hoom Hoom Kare-Female Version Video - Rudaali|Dimple Kapadia|Lata Mangeshkar|Gulzar,SonyMusicIndiaVEVO,"54,800,000","57,706,541","268,976",214,https://www.youtube.com/watch?v=F10aeM9V1Ho
"Wada Karo Nahin Chodoge Tum Mera Saath | Kishore Kumar, Lata Mangeshkar | Aa Gale Lag Jaa 1973 Songs",Goldmines Gaane Sune Ansune,"45,600,000","54,361,770","249,629",339,https://www.youtube.com/watch?v=AL2YnJsE70w
"Gum Hai Kisi Ke Pyar Mein | Lata Mangeshkar, Kishore Kumar | Raampur Ka Lakshman Songs 1972 | Rekha",Goldmines Gaane Sune Ansune,"45,600,000","49,890,546","256,735",270,https://www.youtube.com/watch?v=sPiOMuvzSI8
"Kya Yahi Pyar Hai (From ""Rocky"")",Lata Mangeshkar - Topic,"505,000","44,925,351","189,130",384,https://www.youtube.com/watch?v=9z6EEprP4rA
Ae Hawa,Lata Mangeshkar - Topic,"505,000","40,527,875","105,016",355,https://www.youtube.com/watch?v=Pyhpo05MHwU
Lata Mangeshkar : Satyam Shivam Sundaram Full Song | Zeenat Aman | Shashi Kapoor,Dard Bhare Songs,"4,370,000","40,273,490","155,785",440,https://www.youtube.com/watch?v=2Llz7iDqn18
Lata Mangeshkar : Dafali Wale Dafali Baja | Rishi Kapoor |  Mohammed Rafi | Old Hindi Songs,Dard Bhare Songs,"4,370,000","39,807,547","117,724",487,https://www.youtube.com/watch?v=8wEWusngPf0
Unse Mili Nazar | Jhuk Gaya Aasman | Rajendra Kumar | Saira Banu | Bollywood Songs | Lata Mangeshkar,Shemaroo Filmi Gaane,"71,200,000","37,196,331","195,229",232,https://www.youtube.com/watch?v=5i160jmz6JI
"Gori Hain Kalaiyan Full Video | Shabbir Kumar, Lata Mangeshkar | Amitabh Bachchan & Jaya Prada ❤️",Moza Series,"532,000","31,178,118","67,970",434,https://www.youtube.com/watch?v=ftbr6nOhBPs
Kabhi khushi kabhi gham - Lata Live,Bhargava Yalala,"755,000","29,734,700","216,747",462,https://www.youtube.com/watch?v=nBMXwgw7tbc
Tuz Magato Mee Aata | तुज मागतो मी आता | Ganesh Bhajan - Marathi Song | Lata Mangeshkar,Saregama Marathi,"3,660,000","28,869,952","83,911",221,https://www.youtube.com/watch?v=N4Ilw97aKn0
Bazaar - Dikhayii Diye Yun Ke Bekhud Kii Yaad Hamein - Lata Mangeshkar,Shemaroo,"57,600,000","24,759,934","106,974",244,https://www.youtube.com/watch?v=7KgyhgnnRRE
Humne Dekhi Hai Un Aankhon Ki Mehakti Khusboo | Lata Mangeshkar| Khamoshi 1969 Songs| Waheeda Rehman,Goldmines Gaane Sune Ansune,"45,600,000","24,617,560","107,618",243,https://www.youtube.com/watch?v=doPtBhDTpj0
Yeh Dil Aur Unki Nigahon Ke Saye |Prem Parbat | Lata Mangeshkar,OrangeSadabaharFilms,"2,610,000","24,417,438","117,079",371,https://www.youtube.com/watch?v=Y40hzkgRXgk
Lata Mangeshkar 90 हिट सॉन्ग Songs Old Songs Hindi Purane superhit Gane Old Is Gold सुपरहिट सॉन्ग,MBDNikhil.,"236,000","22,354,895","81,324",1110,https://www.youtube.com/watch?v=ozh7bO6wATk
Ek Radha Ek Meera Full Song 4K 💔 Lata Mangeshkar - Mandakini 💔 Rajiv Kapoor | Ram Teri Ganga Maili,Dard Bhare Songs,"4,370,000","20,158,823","68,797",476,https://www.youtube.com/watch?v=Y5w-FEBzHbk
Kal Bhi Suraj Niklega Kal Bhi Panchhi Gayenge Full Hindi Song | Lata Mangeshkar | Padmini Kolhapure,Dard Bhare Songs,"4,370,000","19,478,292","58,641",635,https://www.youtube.com/watch?v=l_kpqbLCPNU
LATA MANGESHKAR Tu Wada Na Tod Yeh Galiyan Chaubara Pardesh Jake Pardeshiya Hindi Songs,KingFun - Huyền Thoại Game Bài,"114,000","18,854,425","79,717",1108,https://www.youtube.com/watch?v=gJrjEI3haiI
"मैं तेरे इश्क में | Main Tere Ishq Mein Mar Na Jaun Kahin | Lata Mangeshkar | Mumtaz, Dharmendra",Romantic Gaane,"1,530,000","17,924,325","48,781",313,https://www.youtube.com/watch?v=Nr8pXaS5N10
"Mujhe Tum Yaad Karna | Full Song | Mashaal | Anil Kapoor, Rati | Kishore Kumar, Lata Mangeshkar",YRF,"64,400,000","16,126,078","69,419",247,https://www.youtube.com/watch?v=7B1rLeBQzh8
Main Na Bhoolunga : Mukesh - Lata Mangeshkar | Manoj Kumar | Zeenat Aman | 70s Hindi Song,Dard Bhare Songs,"4,370,000","15,643,830","55,130",685,https://www.youtube.com/watch?v=cE9dNK9ZGlg
(Betaab) Jab Hum Jawan Honge Full Song | Lata Mangeshkar | Shabbir Kumar | Sunny Deol | Amrita Singh,Dard Bhare Songs,"4,370,000","15,133,754","42,684",585,https://www.youtube.com/watch?v=DoGw08d-PLo
do pal ruka. lata mangeshkar live recording,Queen of Melody 👑,"582,000","13,179,369","531,311",18,https://www.youtube.com/watch?v=2LG9jiTO4g0
Milo Na Tum To Hum Ghabraye 4k | Lata Mangeshkar Songs | Raaj Kumar | Heer Rajha Movie | 70s Song,Gaane 70s 80s,"1,110,000","13,003,886","50,778",387,https://www.youtube.com/watch?v=03sqseRqpMg
Chhod De Saari Duniya Kisi Ke Liye (HD) | Saraswatichandra | Nutan | Manish | Lata Mangeshkar Songs,Lata Mangeshkar Songs,"1,620,000","12,557,053","80,082",267,https://www.youtube.com/watch?v=9urZBwBTsig
"Aaj Kal Paon Zameen Par - Rekha, Lata Mangeshkar, Ghar Romantic Song",Ultra Bollywood,"43,400,000","11,740,658","41,057",289,https://www.youtube.com/watch?v=MqCzyGLxQeQ
Teri Do Takiya Ki Naukari Mein Mera Lakhon Ka Sawan : Lata Mangeshkar | Hindi Song | Zeenat Aman,Dard Bhare Songs,"4,370,000","10,661,619","28,474",356,https://www.youtube.com/watch?v=t5wpdRDhZ_Y
Kuchh Dil Ne Kaha | Dharmendra | Sharmila Tagore | Anupama | Lata | Evergreen Hindi Songs,Shemaroo Filmi Gaane,"71,200,000","9,408,328","40,548",242,https://www.youtube.com/watch?v=69dnqIFfrnE
Salaam e Ishq Meri Jaan - 4K Video | Kishore Kumar & Lata Mangeshkar | Amitabh Bachchan,Moza Series,"532,000","8,840,717","25,923",353,https://www.youtube.com/watch?v=eaUFOZlbLrc
Lata Mangeshkar 💘 Sun Sahiba Sun Pyar Ki Dhun 4K 💘 Mandakini Song 💘 Ram Teri Ganga Maili Songs,Dard Bhare Songs,"4,370,000","8,798,425","29,505",517,https://www.youtube.com/watch?v=tmE0SdlTyPk
भँवरे ने खिलाया फूल | Bhaware Ne Khilaaya Phool | Lata Mangeshkar Old Song | Prem Rog | Hindi Songs,Lataji Ke Gaane,"1,170,000","8,251,979","26,923",409,https://www.youtube.com/watch?v=E83q4Ycntok
"लग जा गले - Lata Mangeshkar | Lag Ja Gale | Sadhana, Manoj Kumar | Old Hindi Song | Woh Kaun Thi",Romantic Gaane,"1,530,000","6,971,769","31,624",416,https://www.youtube.com/watch?v=A9arc2hWNOw
Luka Chuppi - Lyrical Song | Rang De Basanti | Aamir Khan | Lata Mangeshkar | A.R. Rahman,Sony Music India,"64,300,000","6,641,466","72,223",394,https://www.youtube.com/watch?v=WjjKlwt0UNk
"Kya Yahi Pyar Hai (Lyrical Video) | Lata Mangeshkar, Kishore Kumar | Revibe | Hindi Songs",Universal Music India,"2,260,000","6,464,980","33,686",384,https://www.youtube.com/watch?v=L5cQa_QIjBA
Ajeeb Dastan Hai Yeh | Lata Mangeshkar Live Hydrebad Concert | Dil Apna Aur Preet Parai,Anandghan,"542,000","6,326,199","52,509",308,https://www.youtube.com/watch?v=2__xpiVjn0A
Dil Lagane Ki Na Do Saza | Anmol | Manisha Koirala | Lata Mangeshkar | 90's Dard Geet,Tips Official,"73,400,000","6,081,949","20,981",300,https://www.youtube.com/watch?v=D28L8XHhFtw
Jiya Jale | Dil Se | Lata Mangeshkar | Lata Mangeshkar Live Hydrebad concert.,Anandghan,"542,000","4,797,846","68,857",293,https://www.youtube.com/watch?v=gUSsU8CWNcI
Husn Pahadon Ka (Mandakini) Full Hindi Song | Ram Teri Ganga Maili | Lata Mangeshkar | Suresh Wadkar,Dard Bhare Songs,"4,370,000","4,619,937","21,447",322,https://www.youtube.com/watch?v=qzRJoGPeT_Q
Ek Tu Na Mila 💔 Lata Mangeshkar Sad Songs 💔 बोल मेरी तक़दीर मैं क्या | Kalyanji Anandji,NH Hindi Songs,"5,840,000","3,960,796","24,629",475,https://www.youtube.com/watch?v=elNRADpyeW8
wada na tod !! old sadabahar gane !! lata mangeshkar song !! sadabahar gane !! Triggered Gyan !!,Triggered Gyan,"217,000","3,689,966","14,410",1009,https://www.youtube.com/watch?v=1kZqNyBY5jA
"Tumhi Meri Mandir Tumhi Meri Pooja Full Song 4K | Lata Mangeshkar | Nutan, Sunil Dutt | Khandaan",SuperHit Gaane,"7,540,000","3,548,590","25,906",332,https://www.youtube.com/watch?v=zmwpWYwYKpw
Aji Rooth Kar Ab Kahan Jaiyega - Lata Mangeshkar - Arzoo [1965],Saregama Music,"53,400,000","3,025,031","21,329",315,https://www.youtube.com/watch?v=K5LTJcX01lE
Dil Deewana,Lata Mangeshkar - Topic,"505,000","2,922,999","24,068",354,https://www.youtube.com/watch?v=oEnFAt2KOfA
Piya Tose Naina Laage Re - Guide Songs HD | Waheeda Rehman | Lata Mangeshkar,BondTune Hindi,"148,000","2,797,212","27,650",517,https://www.youtube.com/watch?v=_lgACMqCpus
"Jeet Jayenge Hum Tu Agar Sang Hai 4K Song | Meri Jung | Lata Mangeshkar,Nitin Mukesh",Gaane Naye Purane,"10,000,000","2,530,685","9,518",476,https://www.youtube.com/watch?v=2qccr9qL0l8
Yaara Seeli Seeli | Lata Mangeshkar | Dimple Kapadi | Vinod Khanna | Lekin | 90's Classic Song,Best of 90s songs,"117,000","2,395,974","12,282",322,https://www.youtube.com/watch?v=OCEXAUUA5ss
"Mujhe Tum Mil Gaye Humdum video Song | Love in Tokyo | Lata Mangeshkar | Asha Parekh, Joy Mukherjee",SRE MUSIC,"609,000","2,389,702","12,698",309,https://www.youtube.com/watch?v=k3jv6NsKC5Y
Na Mon Lage Na with lyrics | Lata Mangeshkar | Serashilpi Seragaan Hits Of Lata Mangeshkar Kishore,Saregama Bengali,"7,700,000","2,361,649","19,042",218,https://www.youtube.com/watch?v=BNQVe70noWk
Panna Ki Tamanna Hai Lyrical | Kishore Kumar | Lata Mangeshkar | Dev Anand | Zeenat Aman | Old Song,"70s, 80s, 90s, Songs","166,000","2,255,181","13,101",367,https://www.youtube.com/watch?v=9rx2IMm8pF8
Sun Sahiba Sun Pyaar Ki Dhun 4K | Ram Teri Ganga Maili Songs | Lata Mangeshkar | Mandakini,SuperHit Gaane,"7,540,000","2,173,656","12,626",314,https://www.youtube.com/watch?v=8ms_iTlEE4U
"ओ बाबुल प्यारे | O Babul Pyare 4K | Lata Mangeshkar | Johny Mera Naam (1970) | Hema Malini, Premnath",Shemaroo Filmi Gaane,"71,200,000","2,123,881","6,003",357,https://www.youtube.com/watch?v=nOru3DwJnrU
"Rab Ne Banaya Tujhe Mere Liye 4K Video | Lata Mangeshkar | Anil Kapoor, Sridevi | Heer Ranjha Songs",SuperHit Gaane,"7,540,000","2,102,666","7,668",537,https://www.youtube.com/watch?v=PZ2G8DEzDmU
"O Babul Pyare | Johny Mera Naam (1970) | Lata Mangeshkar | Dev Anand, Hema Malini | Olds Hindi Songs",Shemaroo Musical Maestros,"10,100,000","1,861,939","6,226",357,https://www.youtube.com/watch?v=lBuH_bW-f10
Tujhse Naraz Nahin Zindagi | Lyrical | Naseeruddin Shah | Shabana Azmi | Lata Mangeshkar,Old Hindi Songs,"1,460,000","1,547,097","11,760",235,https://www.youtube.com/watch?v=T2V1lFQ62Is
"Sad Song: Chitthiye Ni Dard Firaaq Valiye 4K | Lata Mangeshkar | Henna |Rishi Kapoor, Zeba Bakhtiyar",SuperHit Gaane,"7,540,000","1,197,493","7,683",285,https://www.youtube.com/watch?v=nu_t6mkC-DE
Hamne Sanam Ko Khat Likha - Jhankar Beats,Lata Mangeshkar - Topic,"505,000","1,038,345","10,499",343,https://www.youtube.com/watch?v=CQofDhaR4k8
"Beeti Na Bitai Raina 4K - Lata Mangeshkar Songs - Bhupinder Singh - Jaya Bachchan, Sanjeev Kumar",SuperHit Gaane,"7,540,000","948,881","9,107",304,https://www.youtube.com/watch?v=MjVRG2VV1kA
वो भूली दास्तान लो | Sanjog (1961) | Anita Guha | Lata Mangeshkar Sad Hindi Song #latamangeshkarsong,Lata Mangeshkar Songs,"1,620,000","705,967","4,260",257,https://www.youtube.com/watch?v=9h84DGsCHsA
"रिमझिम गिरे सावन | Rimjhim Gire Sawan | Lata Mangeshkar | Manzil (1979) | Amitabh Bachchan, Moushumi",Shemaroo Filmi Gaane,"71,200,000","567,742","3,354",225,https://www.youtube.com/watch?v=6C7R_CUJgHQ
Bloom,Prateek Kuhad,"1,090,000","471,641","2,601",220,https://www.youtube.com/watch?v=h1wPRrJls1I
Chal Chale Aye Dil (HD) | Jheel Ke Us Paar (1973) | Mumtaz | Dharmendra | Lata Mangeshkar Songs,NH Hindi Songs,"5,840,000","358,383","1,745",505,https://www.youtube.com/watch?v=TgZeU80A0ZY
